caseid,task,user,end_timestamp,start_timestamp,role,ac_index,rl_index
101051,Evaluacion curso,7331,2016-03-15 02:15:00+00:00,2016-03-14 20:59:00+00:00,Role 2,4,5
101101,Traer informacion estudiante - banner,3149,2016-03-14 23:04:31+00:00,2016-03-14 23:04:31+00:00,Role 1,10,1
101101,Radicar Solicitud Homologacion,3149,2016-03-14 23:25:41+00:00,2016-03-14 23:04:34+00:00,Role 1,7,1
101101,Validar solicitud,186,2016-03-17 22:25:20+00:00,2016-03-17 18:12:33+00:00,Role 3,14,6
101101,Homologacion por grupo de cursos,186,2016-05-10 04:57:40+00:00,2016-05-10 04:42:02+00:00,Role 3,5,6
101102,Traer informacion estudiante - banner,5275,2016-03-14 23:44:54+00:00,2016-03-14 23:44:54+00:00,Role 1,10,1
101102,Radicar Solicitud Homologacion,5275,2016-03-14 23:45:12+00:00,2016-03-14 23:44:55+00:00,Role 1,7,1
101102,Cancelar Solicitud,19019,2016-03-15 00:17:19+00:00,2016-03-15 00:02:02+00:00,Role 3,2,6
101102,Notificacion estudiante cancelacion soli,19019,2016-03-16 23:19:51+00:00,2016-03-16 23:19:51+00:00,Role 3,6,6
101103,Traer informacion estudiante - banner,9427,2016-03-14 23:47:34+00:00,2016-03-14 23:47:34+00:00,Role 1,10,1
101103,Radicar Solicitud Homologacion,9427,2016-03-14 23:48:10+00:00,2016-03-14 23:47:35+00:00,Role 1,7,1
101103,Cancelar Solicitud,677,2016-03-15 00:39:55+00:00,2016-03-15 00:23:19+00:00,Role 3,2,6
101103,Notificacion estudiante cancelacion soli,677,2016-03-17 01:34:13+00:00,2016-03-17 01:34:13+00:00,Role 3,6,6
101201,Traer informacion estudiante - banner,9437,2016-03-14 22:54:24+00:00,2016-03-14 22:54:24+00:00,Role 1,10,1
101201,Radicar Solicitud Homologacion,9437,2016-03-14 22:54:54+00:00,2016-03-14 22:54:28+00:00,Role 1,7,1
101201,Cancelar Solicitud,9437,2016-03-14 23:21:50+00:00,2016-03-14 23:21:22+00:00,Role 1,2,1
101201,Notificacion estudiante cancelacion soli,9437,2016-03-14 23:50:01+00:00,2016-03-14 23:50:01+00:00,Role 1,6,1
101202,Traer informacion estudiante - banner,8556,2016-03-14 23:18:17+00:00,2016-03-14 23:18:17+00:00,Role 1,10,1
101202,Radicar Solicitud Homologacion,8556,2016-03-14 23:18:34+00:00,2016-03-14 23:18:18+00:00,Role 1,7,1
101202,Cancelar Solicitud,241,2016-03-15 00:12:46+00:00,2016-03-14 23:34:34+00:00,Role 3,2,6
101202,Notificacion estudiante cancelacion soli,241,2016-03-28 22:47:27+00:00,2016-03-28 22:47:27+00:00,Role 3,6,6
101203,Traer informacion estudiante - banner,8955,2016-03-14 23:34:08+00:00,2016-03-14 23:34:08+00:00,Role 1,10,1
101203,Radicar Solicitud Homologacion,8955,2016-03-14 23:34:20+00:00,2016-03-14 23:34:08+00:00,Role 1,7,1
101203,Cancelar Solicitud,241,2016-03-15 00:24:43+00:00,2016-03-14 23:46:40+00:00,Role 3,2,6
101203,Notificacion estudiante cancelacion soli,241,2016-03-28 22:50:36+00:00,2016-03-28 22:50:36+00:00,Role 3,6,6
101204,Traer informacion estudiante - banner,9437,2016-03-14 23:50:50+00:00,2016-03-14 23:50:50+00:00,Role 1,10,1
101204,Radicar Solicitud Homologacion,9437,2016-03-14 23:50:59+00:00,2016-03-14 23:50:51+00:00,Role 1,7,1
101204,Cancelar Solicitud,241,2016-03-15 00:37:41+00:00,2016-03-14 23:59:50+00:00,Role 3,2,6
101204,Notificacion estudiante cancelacion soli,241,2016-03-28 22:51:32+00:00,2016-03-28 22:51:32+00:00,Role 3,6,6
101205,Traer informacion estudiante - banner,7573,2016-03-15 00:10:27+00:00,2016-03-15 00:10:27+00:00,Role 1,10,1
101205,Radicar Solicitud Homologacion,7573,2016-03-15 00:11:17+00:00,2016-03-15 00:10:28+00:00,Role 1,7,1
101205,Cancelar Solicitud,241,2016-03-15 13:57:22+00:00,2016-03-15 13:20:24+00:00,Role 3,2,6
101205,Notificacion estudiante cancelacion soli,241,2016-03-28 22:58:53+00:00,2016-03-28 22:58:53+00:00,Role 3,6,6
101207,Traer informacion estudiante - banner,26321,2016-03-15 00:27:30+00:00,2016-03-15 00:27:30+00:00,Role 1,10,1
101207,Radicar Solicitud Homologacion,26321,2016-03-15 00:28:03+00:00,2016-03-15 00:27:31+00:00,Role 1,7,1
101207,Validar solicitud,49,2016-03-15 01:28:03+00:00,2016-03-15 01:04:19+00:00,Role 3,14,6
101207,Homologacion por grupo de cursos,2541,2016-03-18 04:40:13+00:00,2016-03-18 00:44:19+00:00,Role 2,5,5
101207,Revisar curso,1707,2016-03-18 04:13:23+00:00,2016-03-18 00:44:19+00:00,Role 3,9,6
101207,Evaluacion curso,1707,2016-05-02 17:03:31+00:00,2016-05-02 16:48:20+00:00,Role 3,4,6
101207,Validacion final,49,2016-05-04 15:08:41+00:00,2016-05-04 14:57:34+00:00,Role 3,13,6
101207,Visto Bueno Cierre Proceso,2541,2016-05-05 19:07:37+00:00,2016-05-05 19:07:06+00:00,Role 2,16,5
101207,Transferir Creditos,2541,2016-05-05 19:38:37+00:00,2016-05-05 19:38:37+00:00,Role 2,11,5
101251,Traer informacion estudiante - banner,25141,2016-03-14 23:11:45+00:00,2016-03-14 23:11:45+00:00,Role 1,10,1
101251,Radicar Solicitud Homologacion,25141,2016-03-14 23:45:36+00:00,2016-03-14 23:11:48+00:00,Role 1,7,1
101251,Cancelar Solicitud,25141,2016-03-20 20:54:18+00:00,2016-03-20 16:50:18+00:00,Role 1,2,1
101251,Notificacion estudiante cancelacion soli,25141,2016-05-10 21:08:41+00:00,2016-05-10 21:08:41+00:00,Role 1,6,1
101301,Revisar curso,22534,2016-03-15 03:37:22+00:00,2016-03-14 23:56:19+00:00,Role 3,9,6
101301,Traer informacion estudiante - banner,11760,2016-03-15 01:17:20+00:00,2016-03-15 01:17:20+00:00,Role 1,10,1
101301,Radicar Solicitud Homologacion,11760,2016-03-15 01:17:25+00:00,2016-03-15 01:17:25+00:00,Role 1,7,1
101301,Cancelar Solicitud,22475,2016-03-15 08:00:19+00:00,2016-03-15 01:26:43+00:00,Role 3,2,6
101301,Validar solicitud,22475,2016-03-15 01:26:43+00:00,2016-03-15 01:26:43+00:00,Role 3,14,6
101301,Notificacion estudiante cancelacion soli,22475,2016-06-01 17:36:32+00:00,2016-06-01 17:36:32+00:00,Role 3,6,6
101351,Traer informacion estudiante - banner,11775,2016-03-15 02:57:53+00:00,2016-03-15 02:57:53+00:00,Role 1,10,1
101351,Radicar Solicitud Homologacion,11775,2016-03-15 02:57:57+00:00,2016-03-15 02:57:57+00:00,Role 1,7,1
101351,Notificacion estudiante cancelacion soli,1,2016-03-31 00:24:15+00:00,2016-03-31 00:24:15+00:00,Role 6,6,9
101352,Traer informacion estudiante - banner,11775,2016-03-15 03:01:00+00:00,2016-03-15 03:01:00+00:00,Role 1,10,1
101352,Radicar Solicitud Homologacion,11775,2016-03-15 03:01:01+00:00,2016-03-15 03:01:01+00:00,Role 1,7,1
101352,Notificacion estudiante cancelacion soli,1,2016-03-31 00:24:16+00:00,2016-03-31 00:24:16+00:00,Role 6,6,9
101353,Traer informacion estudiante - banner,11775,2016-03-15 03:01:34+00:00,2016-03-15 03:01:34+00:00,Role 1,10,1
101353,Radicar Solicitud Homologacion,11775,2016-03-15 03:01:35+00:00,2016-03-15 03:01:35+00:00,Role 1,7,1
101353,Notificacion estudiante cancelacion soli,1,2016-03-31 00:24:16+00:00,2016-03-31 00:24:16+00:00,Role 6,6,9
101451,Traer informacion estudiante - banner,7573,2016-03-15 10:22:47+00:00,2016-03-15 10:22:47+00:00,Role 1,10,1
101451,Radicar Solicitud Homologacion,7573,2016-03-15 10:22:51+00:00,2016-03-15 10:22:51+00:00,Role 1,7,1
101451,Cancelar Solicitud,241,2016-03-15 14:00:24+00:00,2016-03-15 13:21:31+00:00,Role 3,2,6
101451,Notificacion estudiante cancelacion soli,241,2016-03-29 00:53:43+00:00,2016-03-29 00:53:43+00:00,Role 3,6,6
101452,Traer informacion estudiante - banner,7573,2016-03-15 10:40:21+00:00,2016-03-15 10:40:21+00:00,Role 1,10,1
101452,Radicar Solicitud Homologacion,7573,2016-03-15 10:40:22+00:00,2016-03-15 10:40:22+00:00,Role 1,7,1
101452,Cancelar Solicitud,241,2016-03-15 14:01:45+00:00,2016-03-15 13:22:51+00:00,Role 3,2,6
101452,Notificacion estudiante cancelacion soli,241,2016-03-29 00:54:37+00:00,2016-03-29 00:54:37+00:00,Role 3,6,6
101501,Traer informacion estudiante - banner,7573,2016-03-15 13:12:38+00:00,2016-03-15 13:12:38+00:00,Role 1,10,1
101501,Radicar Solicitud Homologacion,7573,2016-03-15 13:12:42+00:00,2016-03-15 13:12:42+00:00,Role 1,7,1
101501,Cancelar Solicitud,241,2016-03-15 14:02:14+00:00,2016-03-15 13:23:19+00:00,Role 3,2,6
101501,Notificacion estudiante cancelacion soli,241,2016-03-29 00:55:30+00:00,2016-03-29 00:55:30+00:00,Role 3,6,6
101551,Traer informacion estudiante - banner,7492,2016-03-15 12:48:34+00:00,2016-03-15 12:48:34+00:00,Role 1,10,1
101551,Radicar Solicitud Homologacion,7492,2016-03-15 12:48:39+00:00,2016-03-15 12:48:39+00:00,Role 1,7,1
101551,Validar solicitud,19019,2016-03-15 13:14:04+00:00,2016-03-15 12:59:43+00:00,Role 3,14,6
101551,Homologacion por grupo de cursos,19019,2016-03-16 23:21:44+00:00,2016-03-16 23:21:44+00:00,Role 3,5,6
101551,Validar solicitud / pre-homologacion,19019,2016-03-16 23:21:45+00:00,2016-03-16 23:21:45+00:00,Role 3,15,6
101552,Traer informacion estudiante - banner,7492,2016-03-15 13:03:22+00:00,2016-03-15 13:03:22+00:00,Role 1,10,1
101552,Radicar Solicitud Homologacion,7492,2016-03-15 13:03:23+00:00,2016-03-15 13:03:23+00:00,Role 1,7,1
101552,Validar solicitud,19019,2016-03-15 13:21:37+00:00,2016-03-15 13:07:13+00:00,Role 3,14,6
101552,Homologacion por grupo de cursos,19019,2016-03-16 23:24:01+00:00,2016-03-16 23:24:01+00:00,Role 3,5,6
101552,Validar solicitud / pre-homologacion,19019,2016-03-16 23:24:02+00:00,2016-03-16 23:24:02+00:00,Role 3,15,6
101751,Radicar Solicitud Homologacion,410,2016-03-15 20:59:40+00:00,2016-03-15 20:59:32+00:00,Role 7,7,10
101801,Traer informacion estudiante - banner,9335,2016-03-15 22:09:17+00:00,2016-03-15 22:09:17+00:00,Role 1,10,1
101801,Radicar Solicitud Homologacion,9335,2016-03-15 22:09:48+00:00,2016-03-15 22:09:25+00:00,Role 1,7,1
101801,Cancelar Solicitud,9335,2016-03-16 03:44:58+00:00,2016-03-15 22:33:19+00:00,Role 1,2,1
101801,Validar solicitud,920,2016-03-15 22:35:45+00:00,2016-03-15 22:33:19+00:00,Role 3,14,6
101801,Notificacion estudiante cancelacion soli,9335,2016-05-17 23:12:19+00:00,2016-05-17 23:12:19+00:00,Role 1,6,1
101802,Traer informacion estudiante - banner,8824,2016-03-15 22:32:06+00:00,2016-03-15 22:32:06+00:00,Role 1,10,1
101802,Radicar Solicitud Homologacion,8824,2016-03-15 22:32:09+00:00,2016-03-15 22:32:07+00:00,Role 1,7,1
101802,Cancelar Solicitud,677,2016-03-15 22:45:19+00:00,2016-03-15 22:34:54+00:00,Role 3,2,6
101802,Notificacion estudiante cancelacion soli,677,2016-03-17 01:37:37+00:00,2016-03-17 01:37:37+00:00,Role 3,6,6
101803,Traer informacion estudiante - banner,8824,2016-03-15 22:37:51+00:00,2016-03-15 22:37:51+00:00,Role 1,10,1
101803,Radicar Solicitud Homologacion,8824,2016-03-15 22:37:54+00:00,2016-03-15 22:37:52+00:00,Role 1,7,1
101803,Validar solicitud,677,2016-03-15 22:50:41+00:00,2016-03-15 22:40:22+00:00,Role 3,14,6
101803,Homologacion por grupo de cursos,3445,2016-03-17 01:59:31+00:00,2016-03-17 01:39:31+00:00,Role 2,5,5
101803,Revisar curso,677,2016-03-17 01:39:32+00:00,2016-03-17 01:39:32+00:00,Role 3,9,6
101803,Evaluacion curso,6995,2016-03-17 01:40:52+00:00,2016-03-17 01:40:52+00:00,Role 2,4,5
101803,Validacion final,677,2016-03-17 14:05:43+00:00,2016-03-17 13:45:43+00:00,Role 3,13,6
101803,Visto Bueno Cierre Proceso,3445,2016-03-28 21:14:06+00:00,2016-03-28 21:14:06+00:00,Role 2,16,5
101852,Traer informacion estudiante - banner,8824,2016-03-16 01:09:56+00:00,2016-03-16 01:09:56+00:00,Role 1,10,1
101852,Radicar Solicitud Homologacion,8824,2016-03-16 01:09:57+00:00,2016-03-16 01:09:57+00:00,Role 1,7,1
101852,Cancelar Solicitud,677,2016-03-16 01:20:18+00:00,2016-03-16 01:12:18+00:00,Role 3,2,6
101852,Notificacion estudiante cancelacion soli,677,2016-03-17 01:43:35+00:00,2016-03-17 01:43:35+00:00,Role 3,6,6
101853,Traer informacion estudiante - banner,8824,2016-03-16 01:12:44+00:00,2016-03-16 01:12:44+00:00,Role 1,10,1
101853,Radicar Solicitud Homologacion,8824,2016-03-16 01:12:45+00:00,2016-03-16 01:12:45+00:00,Role 1,7,1
101853,Cancelar Solicitud,677,2016-03-16 01:22:36+00:00,2016-03-16 01:14:36+00:00,Role 3,2,6
101853,Notificacion estudiante cancelacion soli,677,2016-03-17 01:48:40+00:00,2016-03-17 01:48:40+00:00,Role 3,6,6
101854,Traer informacion estudiante - banner,8824,2016-03-16 01:50:38+00:00,2016-03-16 01:50:38+00:00,Role 1,10,1
101854,Radicar Solicitud Homologacion,8824,2016-03-16 01:50:39+00:00,2016-03-16 01:50:39+00:00,Role 1,7,1
101854,Cancelar Solicitud,677,2016-03-16 02:05:45+00:00,2016-03-16 01:57:45+00:00,Role 3,2,6
101854,Notificacion estudiante cancelacion soli,677,2016-03-17 01:52:58+00:00,2016-03-17 01:52:58+00:00,Role 3,6,6
101901,Traer informacion estudiante - banner,8824,2016-03-16 02:34:37+00:00,2016-03-16 02:34:37+00:00,Role 1,10,1
101901,Radicar Solicitud Homologacion,8824,2016-03-16 02:34:42+00:00,2016-03-16 02:34:42+00:00,Role 1,7,1
101901,Cancelar Solicitud,677,2016-03-16 02:45:02+00:00,2016-03-16 02:37:02+00:00,Role 3,2,6
101901,Notificacion estudiante cancelacion soli,677,2016-03-17 01:55:10+00:00,2016-03-17 01:55:10+00:00,Role 3,6,6
102001,Traer informacion estudiante - banner,11342,2016-03-16 03:09:28+00:00,2016-03-16 03:09:28+00:00,Role 1,10,1
102001,Radicar Solicitud Homologacion,11342,2016-03-16 03:09:32+00:00,2016-03-16 03:09:32+00:00,Role 1,7,1
102001,Validar solicitud,18929,2016-03-16 04:35:10+00:00,2016-03-16 03:51:10+00:00,Role 3,14,6
102001,Homologacion por grupo de cursos,957,2016-03-31 02:31:39+00:00,2016-03-30 20:39:15+00:00,Role 2,5,5
102001,Revisar curso,18929,2016-03-30 20:39:16+00:00,2016-03-30 20:39:16+00:00,Role 3,9,6
102001,Evaluacion curso,436,2016-03-31 02:35:08+00:00,2016-03-30 20:45:08+00:00,Role 2,4,5
102001,Validacion final,18929,2016-06-02 18:02:40+00:00,2016-06-02 18:00:28+00:00,Role 3,13,6
102001,Visto Bueno Cierre Proceso,957,2016-06-02 22:13:36+00:00,2016-06-02 22:13:25+00:00,Role 2,16,5
102002,Traer informacion estudiante - banner,11349,2016-03-16 03:51:22+00:00,2016-03-16 03:51:22+00:00,Role 1,10,1
102002,Radicar Solicitud Homologacion,11349,2016-03-16 03:51:23+00:00,2016-03-16 03:51:23+00:00,Role 1,7,1
102002,Notificacion estudiante cancelacion soli,1,2016-04-01 00:24:05+00:00,2016-04-01 00:24:05+00:00,Role 6,6,9
102102,Traer informacion estudiante - banner,24544,2016-03-16 08:30:13+00:00,2016-03-16 08:30:13+00:00,Role 1,10,1
102102,Radicar Solicitud Homologacion,24544,2016-03-16 08:30:14+00:00,2016-03-16 08:30:14+00:00,Role 1,7,1
102102,Cancelar Solicitud,24544,2016-03-16 08:50:52+00:00,2016-03-16 08:50:52+00:00,Role 1,2,1
102102,Notificacion estudiante cancelacion soli,24544,2016-03-16 09:24:38+00:00,2016-03-16 09:24:38+00:00,Role 1,6,1
102103,Traer informacion estudiante - banner,24544,2016-03-16 08:52:27+00:00,2016-03-16 08:52:27+00:00,Role 1,10,1
102103,Radicar Solicitud Homologacion,24544,2016-03-16 08:52:28+00:00,2016-03-16 08:52:28+00:00,Role 1,7,1
102103,Notificacion estudiante cancelacion soli,1,2016-04-01 00:24:06+00:00,2016-04-01 00:24:06+00:00,Role 6,6,9
102202,Traer informacion estudiante - banner,8655,2016-03-16 13:12:28+00:00,2016-03-16 13:12:28+00:00,Role 1,10,1
102202,Radicar Solicitud Homologacion,8655,2016-03-16 13:29:32+00:00,2016-03-16 13:12:29+00:00,Role 1,7,1
102202,Cancelar Solicitud,6400,2016-03-18 16:04:04+00:00,2016-03-18 16:03:31+00:00,Role 3,2,6
102202,Notificacion estudiante cancelacion soli,6400,2016-03-18 16:37:07+00:00,2016-03-18 16:37:07+00:00,Role 3,6,6
102203,Traer informacion estudiante - banner,7492,2016-03-16 13:13:28+00:00,2016-03-16 13:13:28+00:00,Role 1,10,1
102203,Radicar Solicitud Homologacion,7492,2016-03-16 13:13:29+00:00,2016-03-16 13:13:29+00:00,Role 1,7,1
102203,Validar solicitud,19019,2016-03-16 13:26:31+00:00,2016-03-16 13:20:03+00:00,Role 3,14,6
102203,Homologacion por grupo de cursos,19019,2016-03-16 23:30:35+00:00,2016-03-16 23:28:05+00:00,Role 3,5,6
102203,Revisar curso,19019,2016-03-16 23:28:05+00:00,2016-03-16 23:28:05+00:00,Role 3,9,6
102203,Evaluacion curso,19019,2016-03-16 23:28:34+00:00,2016-03-16 23:28:33+00:00,Role 3,4,6
102203,Validar solicitud / pre-homologacion,19019,2016-03-16 23:32:02+00:00,2016-03-16 23:29:33+00:00,Role 3,15,6
102204,Traer informacion estudiante - banner,2274,2016-03-16 13:26:23+00:00,2016-03-16 13:26:23+00:00,Role 1,10,1
102204,Radicar Solicitud Homologacion,2274,2016-03-16 13:26:35+00:00,2016-03-16 13:26:24+00:00,Role 1,7,1
102204,Cancelar Solicitud,677,2016-03-16 16:48:22+00:00,2016-03-16 15:11:41+00:00,Role 3,2,6
102204,Notificacion estudiante cancelacion soli,677,2016-04-08 16:52:51+00:00,2016-04-08 16:52:51+00:00,Role 3,6,6
102251,Traer informacion estudiante - banner,1515,2016-03-16 15:51:02+00:00,2016-03-16 15:51:02+00:00,Role 1,10,1
102251,Radicar Solicitud Homologacion,1515,2016-03-16 15:51:15+00:00,2016-03-16 15:51:05+00:00,Role 1,7,1
102251,Validar solicitud,1707,2016-03-16 18:16:32+00:00,2016-03-16 16:01:34+00:00,Role 3,14,6
102251,Homologacion por grupo de cursos,15930,2016-04-15 16:47:23+00:00,2016-04-15 14:39:23+00:00,Role 2,5,5
102251,Revisar curso,1707,2016-04-15 16:08:16+00:00,2016-04-15 14:39:23+00:00,Role 3,9,6
102251,Evaluacion curso,15930,2016-05-02 17:16:19+00:00,2016-05-02 16:53:13+00:00,Role 2,4,5
102251,Validacion final,1707,2016-05-05 04:43:15+00:00,2016-05-05 04:43:15+00:00,Role 3,13,6
102251,Visto Bueno Cierre Proceso,15930,2016-05-05 16:14:34+00:00,2016-05-05 15:58:34+00:00,Role 2,16,5
102252,Traer informacion estudiante - banner,1515,2016-03-16 16:01:49+00:00,2016-03-16 16:01:49+00:00,Role 1,10,1
102252,Radicar Solicitud Homologacion,1515,2016-03-16 16:02:00+00:00,2016-03-16 16:01:50+00:00,Role 1,7,1
102252,Cancelar Solicitud,677,2016-03-16 17:48:24+00:00,2016-03-16 16:12:44+00:00,Role 3,2,6
102252,Notificacion estudiante cancelacion soli,677,2016-04-08 16:53:33+00:00,2016-04-08 16:53:33+00:00,Role 3,6,6
102253,Traer informacion estudiante - banner,24544,2016-03-16 16:08:28+00:00,2016-03-16 16:08:28+00:00,Role 1,10,1
102253,Radicar Solicitud Homologacion,24544,2016-03-16 16:08:36+00:00,2016-03-16 16:08:29+00:00,Role 1,7,1
102253,Validar solicitud,7080,2016-03-16 16:15:59+00:00,2016-03-16 16:15:49+00:00,Role 3,14,6
102253,Homologacion por grupo de cursos,6889,2016-03-16 21:22:10+00:00,2016-03-16 16:25:58+00:00,Role 2,5,5
102253,Revisar curso,22534,2016-03-16 19:56:34+00:00,2016-03-16 16:26:00+00:00,Role 3,9,6
102253,Evaluacion curso,22534,2016-04-28 21:53:16+00:00,2016-04-28 21:34:59+00:00,Role 3,4,6
102253,Visto Bueno Cierre Proceso,6889,2016-05-02 23:54:20+00:00,2016-05-02 22:45:28+00:00,Role 2,16,5
102253,Validacion final,7080,2016-05-03 00:17:28+00:00,2016-05-03 00:17:28+00:00,Role 3,13,6
102253,Transferir Creditos,6889,2016-05-16 17:38:24+00:00,2016-05-16 17:38:24+00:00,Role 2,11,5
102257,Traer informacion estudiante - banner,2274,2016-03-16 17:11:55+00:00,2016-03-16 17:11:55+00:00,Role 1,10,1
102257,Radicar Solicitud Homologacion,2274,2016-03-16 17:12:19+00:00,2016-03-16 17:11:55+00:00,Role 1,7,1
102257,Validar solicitud,677,2016-03-16 17:41:43+00:00,2016-03-16 17:36:20+00:00,Role 3,14,6
102257,Homologacion por grupo de cursos,3445,2016-03-17 08:09:18+00:00,2016-03-17 02:06:14+00:00,Role 2,5,5
102257,Revisar curso,677,2016-03-17 02:06:15+00:00,2016-03-17 02:06:15+00:00,Role 3,9,6
102257,Evaluacion curso,22491,2016-03-17 08:04:27+00:00,2016-03-17 02:16:27+00:00,Role 5,4,8
102257,Validacion final,677,2016-05-25 21:59:47+00:00,2016-05-25 21:53:15+00:00,Role 3,13,6
102257,Visto Bueno Cierre Proceso,3445,2016-05-26 18:41:06+00:00,2016-05-26 18:32:34+00:00,Role 2,16,5
102303,Traer informacion estudiante - banner,11218,2016-03-16 15:42:07+00:00,2016-03-16 15:42:07+00:00,Role 1,10,1
102303,Radicar Solicitud Homologacion,11218,2016-03-16 15:42:10+00:00,2016-03-16 15:42:08+00:00,Role 1,7,1
102303,Validar solicitud,19019,2016-03-16 15:53:12+00:00,2016-03-16 15:45:00+00:00,Role 3,14,6
102303,Homologacion por grupo de cursos,19019,2016-03-18 00:08:50+00:00,2016-03-17 15:57:27+00:00,Role 3,5,6
102303,Revisar curso,19019,2016-03-17 15:57:27+00:00,2016-03-17 15:57:27+00:00,Role 3,9,6
102303,Evaluacion curso,19295,2016-03-18 00:03:36+00:00,2016-03-17 15:58:03+00:00,Role 2,4,5
102303,Validar solicitud / pre-homologacion,19019,2016-06-22 00:37:23+00:00,2016-06-22 00:31:34+00:00,Role 3,15,6
102305,Traer informacion estudiante - banner,7682,2016-03-16 15:51:14+00:00,2016-03-16 15:51:14+00:00,Role 1,10,1
102305,Radicar Solicitud Homologacion,7682,2016-03-16 15:54:23+00:00,2016-03-16 15:51:15+00:00,Role 1,7,1
102305,Cancelar Solicitud,22404,2016-03-16 21:54:02+00:00,2016-03-16 20:06:02+00:00,Role 3,2,6
